product_index,product_id,encrypted_product_id,model,title,status,display,image_position,url,width,height,occupancy_width,occupancy_height,occupancy_box_area,occupancy_ink,risk,reference_distance,visual_flags,cache
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,5,https://sc04.alicdn.com/kf/H2cb506a8036a46eab61494127ea7ee06j.jpg,320,320,0.9,0.9175,0.8257,0.3391,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\2736942b74651cc7aca7b0ea31576fb5440b7270.jpg
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,6,https://sc04.alicdn.com/kf/H6bb4411cb0564379ab14ae842f2e5308u.jpg,320,320,0.9025,0.8725,0.7874,0.7848,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\097aad651cce443307140e949fb4fa8bab00a74e.jpg
3,10000047166193,AAEqjmk4AOWGexecDTURxFUS,BQ042 / 206,Wholesale Model 206 Knit Lace-Up Walking Shoes Regular Fit Casual Sneakers EU 35-45 OEM ODM,approved,Y,1,https://sc04.alicdn.com/kf/S1d4045fb93b246a79c460fc5a674430dK.png,320,320,0.8,0.4875,0.39,0.2472,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\118551895b5db9cd6496c5dac73b018727b0f203.jpg
3,10000047166193,AAEqjmk4AOWGexecDTURxFUS,BQ042 / 206,Wholesale Model 206 Knit Lace-Up Walking Shoes Regular Fit Casual Sneakers EU 35-45 OEM ODM,approved,Y,2,https://sc04.alicdn.com/kf/Hc8803ccf4bbe497eb82ef45f27c9f03ct.jpg,320,320,0.955,0.6975,0.6661,0.6447,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\b702f4aabc6b1d85c6356d7722e6d579cc34d0c5.jpg
3,10000047166193,AAEqjmk4AOWGexecDTURxFUS,BQ042 / 206,Wholesale Model 206 Knit Lace-Up Walking Shoes Regular Fit Casual Sneakers EU 35-45 OEM ODM,approved,Y,3,https://sc04.alicdn.com/kf/H0c126e03af2847b68f596b817ccc6eb0h.jpg,320,320,0.5175,0.89,0.4606,0.3991,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\d83ddf0824092f6df0f96e889f358ae35e6da42e.jpg
3,10000047166193,AAEqjmk4AOWGexecDTURxFUS,BQ042 / 206,Wholesale Model 206 Knit Lace-Up Walking Shoes Regular Fit Casual Sneakers EU 35-45 OEM ODM,approved,Y,4,https://sc04.alicdn.com/kf/H1e8182e6b7d34290af91bbce9661d3d5H.jpg,320,320,0.8025,0.8175,0.656,0.6502,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\09563727b1684cae51e5ff5007fc512fd862eefc.jpg
3,10000047166193,AAEqjmk4AOWGexecDTURxFUS,BQ042 / 206,Wholesale Model 206 Knit Lace-Up Walking Shoes Regular Fit Casual Sneakers EU 35-45 OEM ODM,approved,Y,5,https://sc04.alicdn.com/kf/H5be9184b5a9c4139879f95ef11872ae9G.jpg,320,320,0.9,0.9175,0.8257,0.2296,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\97aa98d4d8af9dd4f350c29624efe1991cae4472.jpg
3,10000047166193,AAEqjmk4AOWGexecDTURxFUS,BQ042 / 206,Wholesale Model 206 Knit Lace-Up Walking Shoes Regular Fit Casual Sneakers EU 35-45 OEM ODM,approved,Y,6,https://sc04.alicdn.com/kf/H945cf36c17854e6183274452525b010fo.jpg,320,320,0.47,0.915,0.43,0.3774,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\d768a661803a4b25c3bee0e68ca3e2b1d62675b6.jpg
4,10000044007878,AAFejmk4AOWGexecDTURlCYl,BQ-018,2026 New Breathable Mesh Knit Walking Shoes Elastic Lace Chunky Cloud Sole Lavender Sneakers OEM ODM Spring Autumn,modified,N,1,https://sc04.alicdn.com/kf/H3641b7a6147642b4bdace76424a74317t.jpg,320,320,0.86,0.515,0.4429,0.2735,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\037de2741a0db404b0c4fb74963daed0c19a8e3a.jpg
4,10000044007878,AAFejmk4AOWGexecDTURlCYl,BQ-018,2026 New Breathable Mesh Knit Walking Shoes Elastic Lace Chunky Cloud Sole Lavender Sneakers OEM ODM Spring Autumn,modified,N,2,https://sc04.alicdn.com/kf/H21239b498dc549f9af89d00463585275V.jpg,320,320,0.86,0.8425,0.7246,0.2995,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\7d3d9462e098b65d65b6ca6fd90b2986b65598f2.jpg
4,10000044007878,AAFejmk4AOWGexecDTURlCYl,BQ-018,2026 New Breathable Mesh Knit Walking Shoes Elastic Lace Chunky Cloud Sole Lavender Sneakers OEM ODM Spring Autumn,modified,N,3,https://sc04.alicdn.com/kf/H91230653b8a84747900b55f31233eb5eH.jpg,320,320,0.71,0.8425,0.5982,0.1273,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\436c83f867cb598df63b0f2ee58a0aaaaa0ab009.jpg
4,10000044007878,AAFejmk4AOWGexecDTURlCYl,BQ-018,2026 New Breathable Mesh Knit Walking Shoes Elastic Lace Chunky Cloud Sole Lavender Sneakers OEM ODM Spring Autumn,modified,N,4,https://sc04.alicdn.com/kf/H14b9fc284ad54c9e84a138df697091d1q.jpg,320,320,0.875,0.8425,0.7372,0.3021,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\8a19e57328cfb2976d5bcee9212741c295d8c391.jpg
4,10000044007878,AAFejmk4AOWGexecDTURlCYl,BQ-018,2026 New Breathable Mesh Knit Walking Shoes Elastic Lace Chunky Cloud Sole Lavender Sneakers OEM ODM Spring Autumn,modified,N,5,https://sc04.alicdn.com/kf/H58eb2465434048238821d59f46cb9305W.jpg,320,320,0.7475,0.8425,0.6298,0.0771,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\5b04de48adacfafff91950564cd350e9b2052334.jpg
4,10000044007878,AAFejmk4AOWGexecDTURlCYl,BQ-018,2026 New Breathable Mesh Knit Walking Shoes Elastic Lace Chunky Cloud Sole Lavender Sneakers OEM ODM Spring Autumn,modified,N,6,https://sc04.alicdn.com/kf/Hd6125f9dee384559b8cc050c7e102cf8b.jpg,320,320,0.71,0.8425,0.5982,0.1104,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\10aa1721d909e6ace745775966f5aaa19772b854.jpg
5,1601924345456,AAG3jmk4AOWGex-cDVm6p6mT,BQ033 / T5503,Wholesale Breathable Knit Lace-Up Casual Walking Shoes Lightweight Spring Autumn Summer Sneakers for Men and Women,approved,Y,1,https://sc04.alicdn.com/kf/S445fb842ea014adfb95c010cab4c3114s.png,320,320,0.925,0.495,0.4579,0.2928,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\4decf79f4717295c4d57620cb774df8ab6d8d9cb.jpg
5,1601924345456,AAG3jmk4AOWGex-cDVm6p6mT,BQ033 / T5503,Wholesale Breathable Knit Lace-Up Casual Walking Shoes Lightweight Spring Autumn Summer Sneakers for Men and Women,approved,Y,2,https://sc04.alicdn.com/kf/Hb69d02d3478444248e8c4ceb921a8ca4y.jpg,320,320,0.7175,0.8375,0.6009,0.3103,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\543d8be0bc93425e4acaee9f557468b41edd4697.jpg
5,1601924345456,AAG3jmk4AOWGex-cDVm6p6mT,BQ033 / T5503,Wholesale Breathable Knit Lace-Up Casual Walking Shoes Lightweight Spring Autumn Summer Sneakers for Men and Women,approved,Y,3,https://sc04.alicdn.com/kf/H2e2109ff4dc34df3bd11a8e194bb6ab4I.jpg,320,320,0.6,0.815,0.489,0.2527,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\8c6f51c41d3f262829f98dc5830612d1e077f05b.jpg
5,1601924345456,AAG3jmk4AOWGex-cDVm6p6mT,BQ033 / T5503,Wholesale Breathable Knit Lace-Up Casual Walking Shoes Lightweight Spring Autumn Summer Sneakers for Men and Women,approved,Y,4,https://sc04.alicdn.com/kf/He9ed4afcaa3f4ab9831f207c58c8746fV.jpg,320,320,0.6375,0.7825,0.4988,0.2608,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\b3c952622921c70fa0b2c743467fcf021d0d6ff8.jpg
5,1601924345456,AAG3jmk4AOWGex-cDVm6p6mT,BQ033 / T5503,Wholesale Breathable Knit Lace-Up Casual Walking Shoes Lightweight Spring Autumn Summer Sneakers for Men and Women,approved,Y,5,https://sc04.alicdn.com/kf/H4f375938af93464c84dbf3bff3874030O.jpg,320,320,0.9,0.9175,0.8257,0.1474,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\f41a32fce9ece5c44a663ac23128c9062f04b376.jpg
5,1601924345456,AAG3jmk4AOWGex-cDVm6p6mT,BQ033 / T5503,Wholesale Breathable Knit Lace-Up Casual Walking Shoes Lightweight Spring Autumn Summer Sneakers for Men and Women,approved,Y,6,https://sc04.alicdn.com/kf/Hfee54e3ed896487d9772ffe0ce22e398n.jpg,320,320,0.6075,0.8125,0.4936,0.25,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\590a38d0cbf834d8eeec2b2fdf0a3544f5d7f36d.jpg
6,1601939752005,AAHIjmk4AOWGex-cDVm7isOm,BQ023-O1 / A505,Custom Logo Knit Low Cut Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model A505,approved,Y,1,https://sc04.alicdn.com/kf/Sa5cf5d5ec80b495c91f852062f178df5p.jpg,320,320,0.715,0.41,0.2932,0.1875,P0_LOW_HERO_OCCUPANCY,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\672503cec07a33f4541714fc1935850fb9bf83dd.jpg
6,1601939752005,AAHIjmk4AOWGex-cDVm7isOm,BQ023-O1 / A505,Custom Logo Knit Low Cut Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model A505,approved,Y,2,https://sc04.alicdn.com/kf/S71f0033dca564ab19439dd5f900a22cfF.jpg,320,320,0.7625,0.4425,0.3374,0.2172,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\3f9bb3ca48d3ab0b33df146f19cb07fa2f680587.jpg
6,1601939752005,AAHIjmk4AOWGex-cDVm7isOm,BQ023-O1 / A505,Custom Logo Knit Low Cut Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model A505,approved,Y,3,https://sc04.alicdn.com/kf/Sac64cfd166db4f52a55daddbeacd3fbcF.jpg,320,320,0.6025,0.6725,0.4052,0.1934,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\3cb7e05406f298b1249f032532a1c243aab8176a.jpg
6,1601939752005,AAHIjmk4AOWGex-cDVm7isOm,BQ023-O1 / A505,Custom Logo Knit Low Cut Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model A505,approved,Y,4,https://sc04.alicdn.com/kf/S8e02e8a1bd2f47eb94d4c2d4dd7cd2dbg.jpg,320,320,0.735,0.45,0.3307,0.2221,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\508c24ebc659aeb69d4172d99b8b87fa9e10f3ef.jpg
6,1601939752005,AAHIjmk4AOWGex-cDVm7isOm,BQ023-O1 / A505,Custom Logo Knit Low Cut Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model A505,approved,Y,5,https://sc04.alicdn.com/kf/S4471cfac5da247d79d09a1934cbb9121H.jpg,320,320,0.6225,0.68,0.4233,0.2193,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\2b04bb572472dc5c492628f8a5c5573cc882167c.jpg
6,1601939752005,AAHIjmk4AOWGex-cDVm7isOm,BQ023-O1 / A505,Custom Logo Knit Low Cut Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model A505,approved,Y,6,https://sc04.alicdn.com/kf/S694da9b029dc451c93a7d3964434b94aR.jpg,320,320,0.75,0.38,0.285,0.1869,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\f2dddb7f2a0b5c559da2e83e790828b51848102a.jpg
7,1601939736061,AAH_jmk4AOWGex-cDVm7ioIe,BQ013-O1 / T55836,Custom Logo Knit Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model T55836,approved,Y,1,https://sc04.alicdn.com/kf/Se55a38db0443412a829fce9f98cea790n.png,320,320,0.99,0.48,0.4752,0.4139,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\06d9cae2194523d4ea4505d02732e063bf55956a.jpg
7,1601939736061,AAH_jmk4AOWGex-cDVm7ioIe,BQ013-O1 / T55836,Custom Logo Knit Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model T55836,approved,Y,2,https://sc04.alicdn.com/kf/S51bde0de43b84534b547acfddce95e33B.jpg,320,320,0.7625,0.2775,0.2116,0.1244,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\57de686c5ad554e924c6ba0708dfe842e37e4ea2.jpg
7,1601939736061,AAH_jmk4AOWGex-cDVm7ioIe,BQ013-O1 / T55836,Custom Logo Knit Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model T55836,approved,Y,3,https://sc04.alicdn.com/kf/Sb4ca89d02eea41ffb28f328924bd9dbdz.jpg,320,320,0.7875,0.36,0.2835,0.1697,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\a376fa71c8dd04cc74bbbf08e1bdc0b76c8b21b4.jpg
7,1601939736061,AAH_jmk4AOWGex-cDVm7ioIe,BQ013-O1 / T55836,Custom Logo Knit Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model T55836,approved,Y,4,https://sc04.alicdn.com/kf/S7bfbe22bb86640669ff353c7b060831ao.jpg,320,320,0.7375,0.2875,0.212,0.1168,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\d2816ef107422385a0ef81498db4f39263205375.jpg
7,1601939736061,AAH_jmk4AOWGex-cDVm7ioIe,BQ013-O1 / T55836,Custom Logo Knit Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model T55836,approved,Y,5,https://sc04.alicdn.com/kf/Se911b2b52eee40338b2367db286ea3e0g.jpg,320,320,0.7975,0.3675,0.2931,0.1728,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\1bee4a36a402e603080608f6436d688a6b9d7054.jpg
7,1601939736061,AAH_jmk4AOWGex-cDVm7ioIe,BQ013-O1 / T55836,Custom Logo Knit Slip-On Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model T55836,approved,Y,6,https://sc04.alicdn.com/kf/Sdeb548242d2d450b90bf6e11e5226c1ff.jpg,320,320,0.7475,0.375,0.2803,0.1759,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\35538a09f1f7ce9bfbc97b1681aecdc8838fdf3a.jpg
8,1601939722180,AAFOjmk4AOWGex-cDVm7ikgn,BQ023-W1 / A505,Wholesale Knit Low Cut Slip-On Walking Shoes Casual Shoes Factory Supply Model A505,approved,Y,1,https://sc04.alicdn.com/kf/S9d5a26f942c4424b92575d1d1de95645H.jpg,320,320,0.715,0.415,0.2967,0.1901,P0_LOW_HERO_OCCUPANCY,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\82b104854292e2a8a59672177c276bc8830a5f0a.jpg
8,1601939722180,AAFOjmk4AOWGex-cDVm7ikgn,BQ023-W1 / A505,Wholesale Knit Low Cut Slip-On Walking Shoes Casual Shoes Factory Supply Model A505,approved,Y,2,https://sc04.alicdn.com/kf/S861fe0024d3f4309984ca14fe67c629bP.jpg,320,320,0.76,0.4625,0.3515,0.2366,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\f7fe720fb2bf1c54b04bbf13308d88f0ec629810.jpg
8,1601939722180,AAFOjmk4AOWGex-cDVm7ikgn,BQ023-W1 / A505,Wholesale Knit Low Cut Slip-On Walking Shoes Casual Shoes Factory Supply Model A505,approved,Y,3,https://sc04.alicdn.com/kf/S79c5be04db7246a08b46a849e20cd53ab.jpg,320,320,0.615,0.67,0.4121,0.2111,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\0b629f6d1f67352203a2a49790ec05fca38e3174.jpg
8,1601939722180,AAFOjmk4AOWGex-cDVm7ikgn,BQ023-W1 / A505,Wholesale Knit Low Cut Slip-On Walking Shoes Casual Shoes Factory Supply Model A505,approved,Y,4,https://sc04.alicdn.com/kf/Sab46b0a1ca0041d1b3933e58b1305270f.jpg,320,320,0.735,0.3725,0.2738,0.1824,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\3bce5bf64a6214d387454e9139d155ed87fefc5a.jpg
8,1601939722180,AAFOjmk4AOWGex-cDVm7ikgn,BQ023-W1 / A505,Wholesale Knit Low Cut Slip-On Walking Shoes Casual Shoes Factory Supply Model A505,approved,Y,5,https://sc04.alicdn.com/kf/S48fb7bf129394e27b9a452f246ff70d37.jpg,320,320,0.8,0.525,0.42,0.2644,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\28830910af8cc7cba1604f52ac38932d44267b6d.jpg
