"sku","assignment","video_path","status","note"
"BQ017","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ017_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ018","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ018_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ019","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ019_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ020","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ020_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ021","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ021_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ022","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ022_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ023","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ023_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ024","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ025","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ025_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ026","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ026_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ027","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ027_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ028","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ028_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ029","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","Source product video contains embedded Chinese retail captions."
"BQ030","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ031","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ032","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ033","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ034","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ035","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ036","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ037","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ038","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ039","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ040","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ041","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ042","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ043","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ044","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ045","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ046","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ047","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ048","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ049","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ050","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ051","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ052","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ053","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ054","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ055","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ056","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
