"source_bq","source_model","product_id","link_code","source_protection","queue_status","w36_impressions","w36_clicks","w36_ctr","w36_visitors","w36_inquiries","evidence_status","decision"
"BQ024","A830","10000044041031","SOURCE","PROTECT_SOURCE","MONITORING","5","0","0%","0","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ024","A830","1601939691342","BQ024-W1","N","PUBLIC_QA_PASS","5","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ024","A830","1601939684371","BQ024-R1","N","PUBLIC_QA_PASS","6","0","0%","1","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ024","A830","1601939691340","BQ024-O1","N","PUBLIC_QA_PASS","7","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ012","M8506","10000043744505","SOURCE","PROTECT_SOURCE","MONITORING","7","0","0%","0","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ012","M8506","1601939650458","BQ012-W1","N","PUBLIC_QA_PASS","","","","","","NOT_IN_EFFECTIVE_LIST","NO_EFFECT_RECORD_POSITIONING_REVIEW"
"BQ012","M8506","1601939681367","BQ012-R1","N","PUBLIC_QA_PASS","6","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ012","M8506","1601939606805","BQ012-O1","N","PUBLIC_QA_PASS","5","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ027","K6116","10000044028277","SOURCE","PROTECT_SOURCE","MONITORING","19","0","0%","1","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ027","K6116","1601939616762","BQ027-W1","N","PUBLIC_QA_PASS","15","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ027","K6116","1601939692338","BQ027-R1","N","PUBLIC_QA_PASS","14","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ027","K6116","1601939703288","BQ027-O1","N","PUBLIC_QA_PASS","","","","","","NOT_IN_EFFECTIVE_LIST","NO_EFFECT_RECORD_POSITIONING_REVIEW"
"BQ008","L1009","1601825021825","SOURCE","PROTECT_SOURCE","MONITORING","24","2","8.33%","4","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ008","L1009","1601939625569","BQ008-W1","N","PUBLIC_QA_PASS","10","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ008","L1009","1601939628529","BQ008-R1","N","PUBLIC_QA_PASS","9","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ008","L1009","1601939659415","BQ008-O1","N","PUBLIC_QA_PASS","13","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ005","A503","1601815020244","SOURCE","PROTECT_SOURCE","MONITORING","7","1","14.29%","1","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ005","A503","1601939599850","BQ005-W1","N","PUBLIC_QA_PASS","10","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ005","A503","1601939712176","BQ005-R1","N","PUBLIC_QA_PASS","4","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ005","A503","1601939631570","BQ005-O1","N","PUBLIC_QA_PASS","3","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ006","M8811","1601814931739","SOURCE","PROTECT_SOURCE","MONITORING","7","0","0%","0","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ006","M8811","1601939660427","BQ006-W1","N","PUBLIC_QA_PASS","2","0","0%","0","0","W36_PRODUCT_ADVISOR","LOW_SAMPLE_MONITOR"
"BQ006","M8811","1601939655430","BQ006-R1","N","PUBLIC_QA_PASS","11","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ006","M8811","1601939735063","BQ006-O1","N","PUBLIC_QA_PASS","8","1","12.5%","1","0","W36_PRODUCT_ADVISOR","PROTECT_TRAFFIC_ENTRY"
"BQ018","A116","10000044007878","SOURCE","PROTECT_SOURCE","MONITORING","18","0","0%","0","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ018","A116","1601939726170","BQ018-W1","N","PUBLIC_QA_PASS","7","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ018","A116","1601939641542","BQ018-R1","N","PUBLIC_QA_PASS","1","0","0%","0","0","W36_PRODUCT_ADVISOR","LOW_SAMPLE_MONITOR"
"BQ018","A116","1601939589890","BQ018-O1","N","PUBLIC_QA_PASS","7","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ031","ZX2116","10000046439033","SOURCE","PROTECT_SOURCE","MONITORING","3","0","0%","0","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ031","ZX2116","1601939693331","BQ031-W1","N","PUBLIC_QA_PASS","5","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ031","ZX2116","1601939667426","BQ031-R1","N","PUBLIC_QA_PASS","5","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ031","ZX2116","1601939754004","BQ031-O1","N","PUBLIC_QA_PASS","5","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ028","7212","1601839105416","SOURCE","PROTECT_SOURCE","MONITORING","6","0","0%","2","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ028","7212","1601939720204","BQ028-W1","N","PUBLIC_QA_PASS","","","","","","NOT_IN_EFFECTIVE_LIST","NO_EFFECT_RECORD_POSITIONING_REVIEW"
"BQ028","7212","1601939625627","BQ028-R1","N","PUBLIC_QA_PASS","","","","","","NOT_IN_EFFECTIVE_LIST","NO_EFFECT_RECORD_POSITIONING_REVIEW"
"BQ028","7212","1601939705262","BQ028-O1","N","PUBLIC_QA_PASS","","","","","","NOT_IN_EFFECTIVE_LIST","NO_EFFECT_RECORD_POSITIONING_REVIEW"
"BQ007","L0017","1601825070472","SOURCE","PROTECT_SOURCE","MONITORING","10","0","0%","2","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ007","L0017","1601939585913","BQ007-W1","N","PUBLIC_QA_PASS","8","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ007","L0017","1601939711161","BQ007-R1","N","PUBLIC_QA_PASS","6","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ007","L0017","1601939701201","BQ007-O1","N","PUBLIC_QA_PASS","10","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ004","A502","10000043201799","SOURCE","PROTECT_SOURCE","MONITORING","7","0","0%","2","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ004","A502","1601939626612","BQ004-W1","N","PUBLIC_QA_PASS","1","0","0%","0","0","W36_PRODUCT_ADVISOR","LOW_SAMPLE_MONITOR"
"BQ004","A502","1601939738037","BQ004-R1","N","PUBLIC_QA_PASS","2","0","0%","0","0","W36_PRODUCT_ADVISOR","LOW_SAMPLE_MONITOR"
"BQ004","A502","1601939700200","BQ004-O1","N","PUBLIC_QA_PASS","2","0","0%","0","0","W36_PRODUCT_ADVISOR","LOW_SAMPLE_MONITOR"
"BQ010","R1601","1601825160204","SOURCE","PROTECT_SOURCE","MONITORING","9","0","0%","3","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ010","R1601","1601939589876","BQ010-W1","N","PUBLIC_QA_PASS","3","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ010","R1601","1601939734070","BQ010-R1","N","PUBLIC_QA_PASS","7","1","14.29%","2","0","W36_PRODUCT_ADVISOR","PROTECT_TRAFFIC_ENTRY"
"BQ010","R1601","1601939573998","BQ010-O1","N","PUBLIC_QA_PASS","6","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ029","A025","1601839062659","SOURCE","PROTECT_SOURCE","MONITORING","2","0","0%","1","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ029","A025","1601939749045","BQ029-W1","N","PUBLIC_QA_PASS","5","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ029","A025","1601939607770","BQ029-R1","N","PUBLIC_QA_PASS","","","","","","NOT_IN_EFFECTIVE_LIST","NO_EFFECT_RECORD_POSITIONING_REVIEW"
"BQ029","A025","1601939721228","BQ029-O1","N","PUBLIC_QA_PASS","3","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ030","A811","1601839050756","SOURCE","PROTECT_SOURCE","MONITORING","4","0","0%","0","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ030","A811","1601939672381","BQ030-W1","N","PUBLIC_QA_PASS","3","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ030","A811","1601939679363","BQ030-R1","N","PUBLIC_QA_PASS","11","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ030","A811","1601939615744","BQ030-O1","N","PUBLIC_QA_PASS","2","0","0%","0","0","W36_PRODUCT_ADVISOR","LOW_SAMPLE_MONITOR"
"BQ032","ZX2212","10000046653813","SOURCE","PROTECT_SOURCE","MONITORING","11","0","0%","0","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ032","ZX2212","1601939651515","BQ032-W1","N","PUBLIC_QA_PASS","7","0","0%","1","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ032","ZX2212","1601939751023","BQ032-R1","N","PUBLIC_QA_PASS","5","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ032","ZX2212","1601939722196","BQ032-O1","N","PUBLIC_QA_PASS","8","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ026","T5828","10000044011929","SOURCE","PROTECT_SOURCE","MONITORING","18","0","0%","0","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ026","T5828","1601939745065","BQ026-W1","N","PUBLIC_QA_PASS","14","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ026","T5828","1601939725201","BQ026-R1","N","PUBLIC_QA_PASS","4","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ026","T5828","1601939714238","BQ026-O1","N","PUBLIC_QA_PASS","4","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ016","201","10000044021584","SOURCE","PROTECT_SOURCE","MONITORING","10","0","0%","0","1","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ016","201","1601939608691","BQ016-W1","N","PUBLIC_QA_PASS","3","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ016","201","1601939691301","BQ016-R1","N","PUBLIC_QA_PASS","8","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ016","201","1601939633580","BQ016-O1","N","PUBLIC_QA_PASS","3","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ017","A008","10000044034049","SOURCE","PROTECT_SOURCE","MONITORING","8","0","0%","3","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ017","A008","1601939636508","BQ017-W1","N","PUBLIC_QA_PASS","1","0","0%","0","0","W36_PRODUCT_ADVISOR","LOW_SAMPLE_MONITOR"
"BQ017","A008","1601939697271","BQ017-R1","N","PUBLIC_QA_PASS","3","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ017","A008","1601939593839","BQ017-O1","N","PUBLIC_QA_PASS","2","0","0%","0","0","W36_PRODUCT_ADVISOR","LOW_SAMPLE_MONITOR"
"BQ002","BQ-002","10000042896165","SOURCE","PROTECT_SOURCE","MONITORING","28","2","7.14%","5","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ002","BQ-002","1601939654418","BQ002-W1","N","PUBLIC_QA_PASS","11","0","0%","1","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ002","BQ-002","1601939614689","BQ002-R1","N","PUBLIC_QA_PASS","16","1","6.25%","1","0","W36_PRODUCT_ADVISOR","PROTECT_TRAFFIC_ENTRY"
"BQ002","BQ-002","1601939635505","BQ002-O1","N","PUBLIC_QA_PASS","8","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ003","R1218","10000043200726","SOURCE","PROTECT_SOURCE","MONITORING","17","1","5.88%","5","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ003","R1218","1601939663432","BQ003-R1","N","PUBLIC_QA_PASS","6","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ003","R1218","1601939585904","BQ003-W1","N","PUBLIC_QA_PASS","8","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ003","R1218","1601939665367","BQ003-O1","N","PUBLIC_QA_PASS","7","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ011","A002","10000043725883","SOURCE","PROTECT_SOURCE","MONITORING","23","1","4.35%","1","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ011","A002","1601939634522","BQ011-W1","Y","PUBLIC_QA_PASS","9","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ011","A002","1601939666421","BQ011-R1","Y","PUBLIC_QA_PASS","10","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ011","A002","1601939606803","BQ011-O1","Y","PUBLIC_QA_PASS","10","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ014","A507","10000043732626","SOURCE","PROTECT_SOURCE","MONITORING","10","0","0%","1","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ014","A507","1601939669411","BQ014-W1","Y","PUBLIC_QA_PASS","4","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ014","A507","1601939658415","BQ014-R1","Y","PUBLIC_QA_PASS","5","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ014","A507","1601939608686","BQ014-O1","Y","PUBLIC_QA_PASS","7","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ019","A206","10000044041008","SOURCE","PROTECT_RECENT_SOURCE","MONITORING","32","0","0%","1","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ022","A2208","10000043991998","SOURCE","PROTECT_RECENT_SOURCE","MONITORING","8","0","0%","1","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ020","A218","1601839073314","SOURCE","PROTECT_SOURCE","MONITORING","10","1","10%","1","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ021","K6212","1601838963947","SOURCE","PROTECT_SOURCE","MONITORING","29","0","0%","0","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ001","BQ001","10000042821848","SOURCE","PROTECT_SOURCE","MONITORING","19","1","5.26%","9","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ023","A505","10000044004948","SOURCE","PROTECT_SOURCE","MONITORING","32","0","0%","2","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ025","A1689","10000044024484","SOURCE","PROTECT_SOURCE","MONITORING","24","0","0%","6","0","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
